V1	V(n001)	V(n002)	I(R1)
3.400000000000000e+00	3.400000e+00	2.428962e+00	2.428962e-01
3.410000000000000e+00	3.410000e+00	2.438261e+00	2.438261e-01
3.420000000000000e+00	3.420000e+00	2.447560e+00	2.447560e-01
3.430000000000000e+00	3.430000e+00	2.456860e+00	2.456860e-01
3.440000000000000e+00	3.440000e+00	2.466160e+00	2.466160e-01
3.450000000000000e+00	3.450000e+00	2.475461e+00	2.475461e-01
3.460000000000000e+00	3.460000e+00	2.484763e+00	2.484763e-01
3.470000000000000e+00	3.470000e+00	2.494065e+00	2.494065e-01
3.480000000000000e+00	3.480000e+00	2.503368e+00	2.503368e-01
3.490000000000000e+00	3.490000e+00	2.512672e+00	2.512672e-01
3.500000000000000e+00	3.500000e+00	2.521976e+00	2.521976e-01
3.510000000000000e+00	3.510000e+00	2.531281e+00	2.531281e-01
3.520000000000000e+00	3.520000e+00	2.540586e+00	2.540586e-01
3.530000000000000e+00	3.530000e+00	2.549891e+00	2.549891e-01
3.540000000000000e+00	3.540000e+00	2.559198e+00	2.559198e-01
3.550000000000000e+00	3.550000e+00	2.568505e+00	2.568505e-01
3.560000000000000e+00	3.560000e+00	2.577812e+00	2.577812e-01
3.570000000000000e+00	3.570000e+00	2.587120e+00	2.587120e-01
3.580000000000000e+00	3.580000e+00	2.596428e+00	2.596428e-01
3.590000000000000e+00	3.590000e+00	2.605737e+00	2.605737e-01
3.600000000000000e+00	3.600000e+00	2.615047e+00	2.615047e-01
3.610000000000000e+00	3.610000e+00	2.624357e+00	2.624357e-01
3.620000000000000e+00	3.620000e+00	2.633668e+00	2.633668e-01
3.630000000000000e+00	3.630000e+00	2.642979e+00	2.642979e-01
3.640000000000000e+00	3.640000e+00	2.652291e+00	2.652291e-01
3.650000000000000e+00	3.650000e+00	2.661603e+00	2.661603e-01
3.660000000000000e+00	3.660000e+00	2.670916e+00	2.670916e-01
3.670000000000000e+00	3.670000e+00	2.680229e+00	2.680229e-01
3.680000000000000e+00	3.680000e+00	2.689543e+00	2.689543e-01
3.690000000000000e+00	3.690000e+00	2.698857e+00	2.698857e-01
3.700000000000000e+00	3.700000e+00	2.708172e+00	2.708172e-01
3.710000000000000e+00	3.710000e+00	2.717487e+00	2.717487e-01
3.720000000000000e+00	3.720000e+00	2.726803e+00	2.726803e-01
3.730000000000000e+00	3.730000e+00	2.736119e+00	2.736119e-01
3.740000000000000e+00	3.740000e+00	2.745436e+00	2.745436e-01
3.750000000000000e+00	3.750000e+00	2.754753e+00	2.754753e-01
3.760000000000000e+00	3.760000e+00	2.764071e+00	2.764071e-01
3.770000000000000e+00	3.770000e+00	2.773389e+00	2.773389e-01
3.780000000000000e+00	3.780000e+00	2.782708e+00	2.782708e-01
3.790000000000000e+00	3.790000e+00	2.792027e+00	2.792027e-01
3.800000000000000e+00	3.800000e+00	2.801347e+00	2.801347e-01
3.810000000000000e+00	3.810000e+00	2.810667e+00	2.810667e-01
3.820000000000000e+00	3.820000e+00	2.819988e+00	2.819988e-01
3.830000000000000e+00	3.830000e+00	2.829309e+00	2.829309e-01
3.840000000000000e+00	3.840000e+00	2.838630e+00	2.838630e-01
3.850000000000000e+00	3.850000e+00	2.847952e+00	2.847952e-01
3.860000000000000e+00	3.860000e+00	2.857274e+00	2.857274e-01
3.870000000000000e+00	3.870000e+00	2.866597e+00	2.866597e-01
3.880000000000000e+00	3.880000e+00	2.875921e+00	2.875921e-01
3.890000000000000e+00	3.890000e+00	2.885244e+00	2.885244e-01
3.900000000000000e+00	3.900000e+00	2.894568e+00	2.894568e-01
3.910000000000000e+00	3.910000e+00	2.903893e+00	2.903893e-01
3.920000000000000e+00	3.920000e+00	2.913218e+00	2.913218e-01
3.930000000000000e+00	3.930000e+00	2.922544e+00	2.922544e-01
3.940000000000000e+00	3.940000e+00	2.931870e+00	2.931869e-01
